product_id,name,category,price,currency,description,rating,stock,battery_hours,noise_cancellation,microphone_quality,use_case,image_url,product_url
LP008,RyzenWork 15,laptops,57999,INR,Ryzen 5 laptop with 16GB RAM and 512GB storage,4.5,14,13.0,,,"coding,office",,
LP009,CreatorBook Pro,laptops,84999,INR,High performance laptop for development and content creation,4.9,7,8.0,,,"development,content creation",,
LP010,CampusBook,laptops,39999,INR,Budget laptop designed for students,4.2,30,9.0,,,"students,office",,
SW001,FitWatch Pro,smartwatches,4999,INR,"Smartwatch with GPS, heart rate monitoring and long battery",4.6,25,,,,"fitness,running",,
SW002,UrbanWatch,smartwatches,4499,INR,Stylish smartwatch with fitness tracking,4.4,30,,,,"fitness,everyday use",,
SW003,SportWatch Lite,smartwatches,2999,INR,Affordable fitness smartwatch with GPS,4.2,40,,,,"fitness,running",,
SW004,ActiveWatch S,smartwatches,3499,INR,Fitness smartwatch with heart rate monitoring,4.1,35,,,,fitness,,
SW005,EnduroWatch,smartwatches,5999,INR,Long battery smartwatch for athletes,4.7,18,,,,"fitness,running",,
SW006,HealthTrack Pro,smartwatches,5499,INR,Advanced health and fitness tracking smartwatch,4.6,20,,,,"fitness,health tracking",,
SW007,SmartTime X,smartwatches,3999,INR,Everyday smartwatch with notifications and fitness tracking,4.3,28,,,,"everyday use,fitness",,
SW008,Runner GPS,smartwatches,4799,INR,GPS smartwatch designed for runners,4.5,16,,,,"running,fitness",,
SW009,Active Pro Max,smartwatches,6999,INR,Premium smartwatch with GPS and advanced fitness features,4.8,10,,,,"fitness,running",,
SW010,DailyFit,smartwatches,2499,INR,Budget fitness smartwatch for everyday use,4.1,45,,,,"fitness,everyday use",,
RS001,DailyWalk Pro,running shoes,1999,INR,Lightweight mesh running shoes with high comfort,4.5,30,,,,"running,walking",,
RS002,ComfortRun X,running shoes,2999,INR,Comfort-focused running shoes for daily training,4.6,24,,,,"running,gym",,
RS003,RunFlex Pro,running shoes,3499,INR,Flexible running shoes with lightweight construction,4.7,20,,,,"running,marathon",,
RS004,StreetStep,running shoes,2499,INR,Everyday running shoes with durable synthetic material,4.2,35,,,,"running,walking",,
RS005,SpeedRunner,running shoes,3999,INR,Performance running shoes designed for speed,4.8,18,,,,"running,marathon",,
RS006,CloudRun Lite,running shoes,2799,INR,Lightweight comfortable shoes for daily running,4.5,27,,,,"running,walking",,
RS007,GymRunner,running shoes,2299,INR,Versatile shoes for gym and running,4.3,32,,,,"gym,running",,
RS008,TrailRun X,running shoes,4299,INR,Durable running shoes designed for outdoor trails,4.7,14,,,,"running,hiking",,
RS009,FlexStep,running shoes,1899,INR,Affordable lightweight running shoes,4.1,40,,,,"running,walking",,
RS010,Marathon Pro,running shoes,4999,INR,High performance shoes designed for long distance running,4.9,12,,,,"running,marathon",,
BP001,CampusPack 25L,backpacks,1499,INR,Water resistant backpack with laptop compartment,4.5,35,,,,"college,office,travel",,
BP002,UrbanCarry,backpacks,1899,INR,35L water resistant backpack for travel,4.6,25,,,,"travel,office",,
BP003,DailyPack Lite,backpacks,999,INR,Compact everyday backpack with laptop compartment,4.2,50,,,,"college,everyday use",,
BP004,TravelPack 30,backpacks,2299,INR,Large travel backpack with water resistant material,4.7,20,,,,travel,,
BP005,WorkBag Pro,backpacks,2499,INR,Professional laptop backpack for office use,4.6,18,,,,"office,travel",,
BP006,StudentPack,backpacks,1199,INR,Affordable backpack for students,4.3,45,,,,"college,everyday use",,
BP007,AdventurePack,backpacks,2999,INR,Durable backpack for outdoor adventures,4.8,15,,,,"travel,hiking",,
BP008,LaptopPack 35L,backpacks,2199,INR,35L backpack with dedicated laptop compartment,4.5,22,,,,"office,college",,
BP009,CompactCarry,backpacks,899,INR,Compact everyday backpack,4.1,60,,,,"college,everyday use",,
BP010,ProTravel 40,backpacks,3499,INR,Large water resistant travel backpack,4.8,12,,,,"travel,hiking",,
W001,Minimal Time,watches,2499,INR,Classic stainless steel watch with elegant design,4.5,30,,,,"office,everyday use",,
W002,Daily Classic,watches,1999,INR,Affordable classic everyday watch,4.4,35,,,,"everyday use,office",,
W003,Classic Steel,watches,3999,INR,Premium stainless steel classic watch,4.7,20,,,,"office,formal",,
W004,Leather Classic,watches,2999,INR,Classic leather strap watch,4.6,22,,,,"formal,office",,
W005,Executive Pro,watches,4999,INR,Premium stainless steel watch for professional use,4.8,15,,,,"office,formal",,
W006,Urban Time,watches,2299,INR,Modern everyday watch with classic styling,4.3,28,,,,everyday use,,
W007,Leather Elite,watches,4499,INR,Premium leather watch with elegant styling,4.7,14,,,,"formal,office",,
W008,Steel Edge,watches,3499,INR,Stainless steel watch with modern design,4.5,19,,,,"office,everyday use",,
W009,Classic Gold,watches,5499,INR,Elegant premium classic watch,4.8,10,,,,"formal,events",,
W010,Daily Leather,watches,1799,INR,Affordable leather strap everyday watch,4.2,40,,,,everyday use,,
AF001,FamilyFry X,air fryers,6999,INR,7L digital air fryer for family cooking,4.7,15,,,,"family cooking,healthy cooking",,
AF002,AirCook Pro,air fryers,5999,INR,5L digital air fryer with powerful heating,4.5,20,,,,"family cooking,healthy cooking",,
AF003,CrispChef 4L,air fryers,4999,INR,4L digital air fryer for everyday cooking,4.4,25,,,,everyday cooking,,
AF004,QuickFry Lite,air fryers,3499,INR,Compact air fryer for small kitchens,4.2,30,,,,"students,everyday cooking",,
AF005,MegaFry 6L,air fryers,6499,INR,6L air fryer for family meals,4.6,18,,,,family cooking,,
AF006,HealthyFry Pro,air fryers,5799,INR,Digital air fryer designed for healthy cooking,4.6,22,,,,healthy cooking,,
AF007,CompactCrisp,air fryers,2999,INR,Compact 3L air fryer for small households,4.1,35,,,,"students,everyday cooking",,
AF008,PowerFry 7L,air fryers,7499,INR,Large 7L air fryer with high power,4.8,12,,,,family cooking,,
AF009,EasyFry Digital,air fryers,4299,INR,Easy digital air fryer for everyday meals,4.3,28,,,,everyday cooking,,
AF010,ChefFry Max,air fryers,7999,INR,Premium air fryer with large capacity,4.8,10,,,,"family cooking,healthy cooking",,
VC001,HomeVac Pro,vacuum cleaners,6999,INR,Cordless vacuum cleaner with powerful suction,4.7,15,,,,home cleaning,,
VC002,DustFree Lite,vacuum cleaners,4999,INR,Lightweight cordless vacuum cleaner,4.4,25,,,,home cleaning,,
VC003,QuickClean,vacuum cleaners,3999,INR,Compact cordless vacuum cleaner for everyday cleaning,4.2,30,,,,home cleaning,,
VC004,PowerSuction X,vacuum cleaners,7999,INR,High suction cordless vacuum cleaner,4.8,12,,,,deep cleaning,,
VC005,CleanMaster Pro,vacuum cleaners,6499,INR,Powerful cordless vacuum for home cleaning,4.6,18,,,,"home cleaning,deep cleaning",,
VC006,DustHunter,vacuum cleaners,5499,INR,Long battery cordless vacuum cleaner,4.5,22,,,,home cleaning,,
VC007,TurboVac,vacuum cleaners,8999,INR,Premium high suction vacuum cleaner,4.8,10,,,,deep cleaning,,
VC008,MiniVac,vacuum cleaners,2999,INR,Compact vacuum cleaner for small spaces,4.1,35,,,,"home cleaning,car cleaning",,
VC009,HomeClean X,vacuum cleaners,4599,INR,Cordless vacuum cleaner for everyday home use,4.3,27,,,,home cleaning,,
VC010,UltraVac Max,vacuum cleaners,9999,INR,High performance cordless vacuum cleaner,4.9,8,,,,"deep cleaning,home cleaning",,
FE001,FitMat Pro,fitness equipment,1299,INR,Portable high resistance fitness mat,4.5,40,,,,"home workout,yoga",,
FE002,PowerBand Set,fitness equipment,999,INR,Portable resistance band set for home workouts,4.4,50,,,,"home workout,strength training",,
FE003,GymKit Basic,fitness equipment,2499,INR,Complete basic home fitness kit,4.3,25,,,,"home workout,strength training",,
FE004,Resistance Pro,fitness equipment,1799,INR,High resistance portable workout equipment,4.6,30,,,,"strength training,home workout",,
FE005,HomeGym Set,fitness equipment,3499,INR,Complete home workout equipment set,4.7,18,,,,"home workout,strength training",,
FE006,FlexBand Pro,fitness equipment,1299,INR,Medium resistance portable fitness bands,4.3,35,,,,"home workout,yoga",,
FE007,StrengthKit X,fitness equipment,2999,INR,High resistance equipment for strength training,4.6,20,,,,"strength training,home workout",,
FE008,YogaFit Mat,fitness equipment,1499,INR,Portable fitness mat designed for yoga and workouts,4.5,32,,,,"yoga,home workout",,
FE009,WorkoutBand Max,fitness equipment,1899,INR,High resistance portable workout bands,4.7,25,,,,"strength training,home workout",,
FE010,FitnessStarter Kit,fitness equipment,2199,INR,Starter fitness kit for home workouts,4.4,28,,,,"home workout,yoga",,
