product_id,name,category,subcategory,brand,price,currency,description,rating,stock,attributes,use_cases
LP001,CodeBook 14,Electronics,Laptops,ComputeX,54999,INR,"Laptop designed for productivity, development and everyday computing.",4.5,12,"{""ram_gb"":16,""storage_gb"":512,""processor"":""Core i5"",""battery_hours"":10}","[""coding"",""college"",""office"",""gaming""]"
LP002,DevPro 15,Electronics,Laptops,ComputeX,64999,INR,"Laptop designed for productivity, development and everyday computing.",4.7,8,"{""ram_gb"":16,""storage_gb"":512,""processor"":""Core i7"",""battery_hours"":12}","[""coding"",""college"",""office"",""gaming""]"
LP003,StudentBook Air,Electronics,Laptops,ComputeX,42999,INR,"Laptop designed for productivity, development and everyday computing.",4.3,20,"{""ram_gb"":8,""storage_gb"":512,""processor"":""Core i5"",""battery_hours"":11}","[""coding"",""college"",""office"",""gaming""]"
LP004,GameStation 15,Electronics,Laptops,ComputeX,74999,INR,"Laptop designed for productivity, development and everyday computing.",4.6,7,"{""ram_gb"":16,""storage_gb"":1024,""processor"":""Ryzen 7"",""battery_hours"":8}","[""coding"",""college"",""office"",""gaming""]"
LP005,UltraWork 14,Electronics,Laptops,ComputeX,59999,INR,"Laptop designed for productivity, development and everyday computing.",4.4,14,"{""ram_gb"":16,""storage_gb"":512,""processor"":""Ryzen 5"",""battery_hours"":13}","[""coding"",""college"",""office"",""gaming""]"
SW001,FitWatch Pro,Electronics,Smartwatches,WearTech,4999,INR,"Smartwatch with fitness tracking, notifications and activity monitoring.",4.5,20,"{""battery_days"":10,""water_resistant"":true,""heart_rate"":true,""gps"":true}","[""fitness"",""running"",""health"",""daily use""]"
SW002,ActiveWatch S,Electronics,Smartwatches,WearTech,3499,INR,"Smartwatch with fitness tracking, notifications and activity monitoring.",4.3,30,"{""battery_days"":7,""water_resistant"":true,""heart_rate"":true,""gps"":true}","[""fitness"",""running"",""health"",""daily use""]"
SW003,HealthTrack X,Electronics,Smartwatches,WearTech,5999,INR,"Smartwatch with fitness tracking, notifications and activity monitoring.",4.6,15,"{""battery_days"":12,""water_resistant"":true,""heart_rate"":true,""gps"":true}","[""fitness"",""running"",""health"",""daily use""]"
SW004,SportWatch Lite,Electronics,Smartwatches,WearTech,2999,INR,"Smartwatch with fitness tracking, notifications and activity monitoring.",4.2,35,"{""battery_days"":8,""water_resistant"":true,""heart_rate"":true,""gps"":true}","[""fitness"",""running"",""health"",""daily use""]"
SW005,UrbanWatch,Electronics,Smartwatches,WearTech,4499,INR,"Smartwatch with fitness tracking, notifications and activity monitoring.",4.4,22,"{""battery_days"":9,""water_resistant"":true,""heart_rate"":true,""gps"":true}","[""fitness"",""running"",""health"",""daily use""]"
SH001,RunFlex Pro,Fashion,Running Shoes,StrideFit,3499,INR,Comfortable footwear suitable for active lifestyles and daily use.,4.6,25,"{""material"":""mesh"",""comfort"":""high"",""water_resistant"":false,""lightweight"":true}","[""running"",""walking"",""fitness"",""college""]"
SH002,ComfortRun X,Fashion,Running Shoes,StrideFit,2999,INR,Comfortable footwear suitable for active lifestyles and daily use.,4.5,35,"{""material"":""knit"",""comfort"":""high"",""water_resistant"":false,""lightweight"":true}","[""running"",""walking"",""fitness"",""college""]"
SH003,StreetStep,Fashion,Running Shoes,StrideFit,2499,INR,Comfortable footwear suitable for active lifestyles and daily use.,4.2,40,"{""material"":""synthetic"",""comfort"":""medium"",""water_resistant"":false,""lightweight"":true}","[""running"",""walking"",""fitness"",""college""]"
SH004,TrailMaster,Fashion,Running Shoes,StrideFit,4299,INR,Comfortable footwear suitable for active lifestyles and daily use.,4.7,15,"{""material"":""mesh"",""comfort"":""high"",""water_resistant"":false,""lightweight"":true}","[""running"",""walking"",""fitness"",""college""]"
SH005,DailyWalk Pro,Fashion,Running Shoes,StrideFit,1999,INR,Comfortable footwear suitable for active lifestyles and daily use.,4.3,50,"{""material"":""mesh"",""comfort"":""high"",""water_resistant"":false,""lightweight"":true}","[""running"",""walking"",""fitness"",""college""]"
BG001,CampusPack 25L,Fashion,Backpacks,CarryPro,1499,INR,"Practical backpack for college, work and everyday travel.",4.4,40,"{""capacity_liters"":25,""material"":""water resistant"",""laptop_compartment"":true}","[""college"",""office"",""travel"",""daily use""]"
BG002,TravelPack Pro,Fashion,Backpacks,CarryPro,2499,INR,"Practical backpack for college, work and everyday travel.",4.6,22,"{""capacity_liters"":35,""material"":""water resistant"",""laptop_compartment"":true}","[""college"",""office"",""travel"",""daily use""]"
BG003,UrbanCarry,Fashion,Backpacks,CarryPro,1899,INR,"Practical backpack for college, work and everyday travel.",4.3,30,"{""capacity_liters"":22,""material"":""standard"",""laptop_compartment"":true}","[""college"",""office"",""travel"",""daily use""]"
BG004,LaptopPack X,Fashion,Backpacks,CarryPro,2999,INR,"Practical backpack for college, work and everyday travel.",4.7,18,"{""capacity_liters"":30,""material"":""water resistant"",""laptop_compartment"":true}","[""college"",""office"",""travel"",""daily use""]"
BG005,DailyPack Lite,Fashion,Backpacks,CarryPro,999,INR,"Practical backpack for college, work and everyday travel.",4.1,60,"{""capacity_liters"":20,""material"":""standard"",""laptop_compartment"":true}","[""college"",""office"",""travel"",""daily use""]"
WT001,Classic Steel,Fashion,Watches,TimeCraft,3999,INR,Classic watch designed for everyday and formal occasions.,4.4,20,"{""material"":""stainless steel"",""water_resistant"":true,""style"":""classic""}","[""office"",""formal"",""daily use"",""gifting""]"
WT002,Urban Chrono,Fashion,Watches,TimeCraft,5999,INR,Classic watch designed for everyday and formal occasions.,4.6,12,"{""material"":""stainless steel"",""water_resistant"":true,""style"":""classic""}","[""office"",""formal"",""daily use"",""gifting""]"
WT003,Minimal Time,Fashion,Watches,TimeCraft,2499,INR,Classic watch designed for everyday and formal occasions.,4.2,35,"{""material"":""leather"",""water_resistant"":true,""style"":""classic""}","[""office"",""formal"",""daily use"",""gifting""]"
WT004,Executive Pro,Fashion,Watches,TimeCraft,7999,INR,Classic watch designed for everyday and formal occasions.,4.7,8,"{""material"":""stainless steel"",""water_resistant"":true,""style"":""classic""}","[""office"",""formal"",""daily use"",""gifting""]"
WT005,Daily Classic,Fashion,Watches,TimeCraft,1999,INR,Classic watch designed for everyday and formal occasions.,4.1,45,"{""material"":""leather"",""water_resistant"":true,""style"":""classic""}","[""office"",""formal"",""daily use"",""gifting""]"
TS001,Urban Tee Classic,Fashion,T-Shirts,UrbanWear,699,INR,Comfortable T-shirt suitable for casual everyday wear.,4.3,50,"{""material"":""cotton"",""fit"":""regular"",""casual"":true,""lightweight"":true}","[""casual"",""college"",""daily use"",""travel""]"
TS002,ComfortFit T-Shirt,Fashion,T-Shirts,UrbanWear,799,INR,Comfortable T-shirt suitable for casual everyday wear.,4.5,40,"{""material"":""cotton"",""fit"":""regular"",""casual"":true,""lightweight"":true}","[""casual"",""college"",""daily use"",""travel""]"
TS003,StreetStyle Tee,Fashion,T-Shirts,UrbanWear,899,INR,Comfortable T-shirt suitable for casual everyday wear.,4.4,35,"{""material"":""cotton"",""fit"":""slim"",""casual"":true,""lightweight"":true}","[""casual"",""college"",""daily use"",""travel""]"
TS004,DailyWear T-Shirt,Fashion,T-Shirts,UrbanWear,599,INR,Comfortable T-shirt suitable for casual everyday wear.,4.2,60,"{""material"":""cotton"",""fit"":""regular"",""casual"":true,""lightweight"":true}","[""casual"",""college"",""daily use"",""travel""]"
TS005,Premium Soft Tee,Fashion,T-Shirts,UrbanWear,999,INR,Comfortable T-shirt suitable for casual everyday wear.,4.7,25,"{""material"":""cotton"",""fit"":""slim"",""casual"":true,""lightweight"":true}","[""casual"",""college"",""daily use"",""travel""]"
SR001,Urban Casual Shirt,Fashion,Shirts,UrbanWear,899,INR,"Stylish shirt suitable for casual, college and office wear.",4.4,40,"{""material"":""cotton"",""fit"":""regular"",""formal"":true,""comfortable"":true}","[""casual"",""college"",""office"",""daily use""]"
SR002,Classic Oxford Shirt,Fashion,Shirts,UrbanWear,999,INR,"Stylish shirt suitable for casual, college and office wear.",4.6,30,"{""material"":""cotton"",""fit"":""regular"",""formal"":true,""comfortable"":true}","[""casual"",""college"",""office"",""daily use""]"
SR003,Daily Comfort Shirt,Fashion,Shirts,UrbanWear,799,INR,"Stylish shirt suitable for casual, college and office wear.",4.3,50,"{""material"":""cotton"",""fit"":""regular"",""formal"":true,""comfortable"":true}","[""casual"",""college"",""office"",""daily use""]"
SR004,SlimFit Casual Shirt,Fashion,Shirts,UrbanWear,949,INR,"Stylish shirt suitable for casual, college and office wear.",4.5,25,"{""material"":""cotton"",""fit"":""slim"",""formal"":true,""comfortable"":true}","[""casual"",""college"",""office"",""daily use""]"
SR005,Premium Formal Shirt,Fashion,Shirts,UrbanWear,1199,INR,"Stylish shirt suitable for casual, college and office wear.",4.7,20,"{""material"":""cotton"",""fit"":""slim"",""formal"":true,""comfortable"":true}","[""casual"",""college"",""office"",""daily use""]"
AF001,CrispChef 4L,Home,Air Fryers,HomeChef,4999,INR,Kitchen air fryer designed for convenient low-oil cooking.,4.5,18,"{""capacity_liters"":4,""power_watts"":1400,""digital_controls"":true}","[""cooking"",""kitchen"",""family""]"
AF002,AirCook Pro,Home,Air Fryers,HomeChef,5999,INR,Kitchen air fryer designed for convenient low-oil cooking.,4.6,12,"{""capacity_liters"":5,""power_watts"":1600,""digital_controls"":true}","[""cooking"",""kitchen"",""family""]"
AF003,QuickFry Lite,Home,Air Fryers,HomeChef,3499,INR,Kitchen air fryer designed for convenient low-oil cooking.,4.2,30,"{""capacity_liters"":3,""power_watts"":1200,""digital_controls"":true}","[""cooking"",""kitchen"",""family""]"
AF004,FamilyFry X,Home,Air Fryers,HomeChef,6999,INR,Kitchen air fryer designed for convenient low-oil cooking.,4.7,10,"{""capacity_liters"":7,""power_watts"":1800,""digital_controls"":true}","[""cooking"",""kitchen"",""family""]"
AF005,SmartFry,Home,Air Fryers,HomeChef,7999,INR,Kitchen air fryer designed for convenient low-oil cooking.,4.6,8,"{""capacity_liters"":6,""power_watts"":1700,""digital_controls"":true}","[""cooking"",""kitchen"",""family""]"
VC001,CleanBot X,Home,Vacuum Cleaners,CleanHome,8999,INR,Vacuum cleaner designed for convenient home cleaning.,4.5,12,"{""suction_power"":120,""battery_minutes"":90,""cordless"":true}","[""home cleaning"",""daily use""]"
VC002,HomeVac Pro,Home,Vacuum Cleaners,CleanHome,6999,INR,Vacuum cleaner designed for convenient home cleaning.,4.4,18,"{""suction_power"":150,""battery_minutes"":85,""cordless"":true}","[""home cleaning"",""daily use""]"
VC003,DustFree Lite,Home,Vacuum Cleaners,CleanHome,4999,INR,Vacuum cleaner designed for convenient home cleaning.,4.2,30,"{""suction_power"":100,""battery_minutes"":80,""cordless"":true}","[""home cleaning"",""daily use""]"
VC004,PowerClean Max,Home,Vacuum Cleaners,CleanHome,10999,INR,Vacuum cleaner designed for convenient home cleaning.,4.7,8,"{""suction_power"":180,""battery_minutes"":95,""cordless"":true}","[""home cleaning"",""daily use""]"
VC005,QuickClean,Home,Vacuum Cleaners,CleanHome,3999,INR,Vacuum cleaner designed for convenient home cleaning.,4.1,35,"{""suction_power"":90,""battery_minutes"":75,""cordless"":true}","[""home cleaning"",""daily use""]"
FT001,FitMat Pro,Sports,Fitness Equipment,FitZone,1299,INR,Fitness equipment suitable for home workouts and exercise.,4.5,50,"{""resistance"":""high"",""portable"":true,""home_use"":true}","[""fitness"",""home workout"",""gym"",""exercise""]"
FT002,PowerBand Set,Sports,Fitness Equipment,FitZone,999,INR,Fitness equipment suitable for home workouts and exercise.,4.3,60,"{""resistance"":""medium"",""portable"":true,""home_use"":true}","[""fitness"",""home workout"",""gym"",""exercise""]"
FT003,GymKit Basic,Sports,Fitness Equipment,FitZone,2499,INR,Fitness equipment suitable for home workouts and exercise.,4.4,30,"{""resistance"":""medium"",""portable"":true,""home_use"":true}","[""fitness"",""home workout"",""gym"",""exercise""]"
FT004,StrengthPack Pro,Sports,Fitness Equipment,FitZone,4999,INR,Fitness equipment suitable for home workouts and exercise.,4.7,15,"{""resistance"":""high"",""portable"":true,""home_use"":true}","[""fitness"",""home workout"",""gym"",""exercise""]"
FT005,HomeGym Starter,Sports,Fitness Equipment,FitZone,3499,INR,Fitness equipment suitable for home workouts and exercise.,4.5,20,"{""resistance"":""high"",""portable"":true,""home_use"":true}","[""fitness"",""home workout"",""gym"",""exercise""]"
